Ammonia Remove,"1719.51,",CUST 
Anaplasma Lyme,"387,",CUST 
Ascaris Lumbricoides All Stages,"471910.2143,1200,55455.4555,120,7456.5499,240,4777.5565,360,",CUST 
Ascaris Megalocephala All Stages,"128159.7732,300,111.1211,8810.5764,360,22450.8855,300,34688.1655,300,",CUST 
Ascites 1,"70,4160.24920,37500,31907,37605,31000,39167,18667,34577,",CUST 
Ascites 2,"43379.96875,43380.03125,43380,41989.96875,4190.03125,41990,19009.96875,19010.13125,19010,18949.96875,18950.03125,18950,",CUST 
Aura,Energy,"2675,",CUST 
Babesia Lyme,"76,570,753,1583,1584,5776,650,",CUST 
Bartonella Lyme,"832,39936,",CUST 
Borrelia Burgdorferi Lyme,"432,864,345,612,2016,38304,",CUST 
Borrelia Spirochete A,"444,",CUST 
Borrelia Spirochete B,"20,70,324,644,736,544,444,333,367,243,331,133,332,73,445,43,776,24,566,",CUST 
Borrelia Spp. Cysts,"840.6,",CUST 
Calcium Uptake Reduce,"16,",CUST 
Calming 4,"1.9,3.9,5.2,6.8,7.3,9.2,11.9,13.96,15.96,17.3,20.4,",CUST 
Cancer 4 W1,"339,440,448,463,468,574,590,666,668,676,697,732,737,770,786,",CUST 
Cancer 4 W2,"854,866,1556,1662,1862,2127,2180,2182,2184,2452,2489,4445,5476,6064,6668,",CUST 
Cancer All Tumors,"727,727.5,728,2008,2128,",CUST 
Cancer BX,"1607450,",CUST 
Cancer BXBY,"782937.42,",CUST 
Cancer BY Virus,"1529520,",CUST 
Cancer Cell Repair Octal,"5877968.080734,2938984.040367,1469492.020183,734746.010092,367373.005046,183686.502523,91843.251261,45921.625631,22960.812815,11480.406408,5740.203204,2870.101602,1435.050801,717.5254,358.7627,179.38135",CUST 
Cancer Cell Repair Scalar,"598209.060162,29783.075377,1482.81201,73.824863",CUST 
Cancer Cells,"0.16-1.35,6250 D50,6.8,440,",CUST 
Cancer HPV (Moles and Tumors),"1603750,",CUST 
Cancer Throat BX Sweep 1,"1605450-1609450,",CUST 
Cancer Throat BX Sweep 2,"1527520-1531520,",CUST 
Cancer Throat Tumor 1,"128,29000,38300,39007,",CUST 
Cancer Throat Tumor 2,"46015.6,23007.8,11503.9,10025,3713,2876,20480,1604,",CUST 
Cancer Tumors,"1873.477,2221.323,6350.333,10456.383,",CUST 
Cancer,"10022-10028,2400,5890000,",CUST 
Candida HiPower,"23485,51155,51156,53940,58914,58916,88740,23484,57420,99180,8146,22620,29580,",CUST 
Candida LoPower,"31724,31725,33060,46980,50460,54404,54405,55250,55251,60900,64380,67860,412,",CUST 
