Adenovirus 2nd,"371450,386900,3600,",HC 
Adenovirus 3rd,"371000,",HC 
Adenovirus 4th,"334000,",HC 
Adenovirus 5th,"568000,",HC 
Adenovirus,"393000,",HC 
Aflatoxin 1,"177000,",HC 
Agyfla,"71000,",HC 
Alpha Streptococcus 1,"369750,385400,3600,",HC 
Alpha Streptococcus 2,"375000,",HC 
Anaplasma Marginale 2nd,"415300,424000,3600,",HC 
Anaplasma Marginale,"386400,388000,3600,",HC 
Ancylostoma Braziliense,"397600,403250,3600,",HC 
Ancylostoma Caninum_1,"383100,402900,3600,",HC 
Ancylostoma Caninum_2,"393000,",HC 
Ancylostoma Caninum_3,"383100,402900,3600,",HC 
Ascaris Larvae,"404900,409150,3600,",HC 
Ascaris Megalocephala (Male),"403850,409700,3600,",HC 
Bacillus Anthracis 2nd,"363200,365300,3600,",HC 
Bacillus Anthracis 3rd,"359400,370500,3600,",HC 
Bacillus Anthracis Spores,"391450,386950,3600,",HC 
Bacillus Anthracis,"393500,398000,3600,",HC 
Bacillus Cereus,"373650,375850,3600,",HC 
Bacillus Subtilis Niger_1,"371850,387100,3600,",HC 
Bacillus Subtilis Niger_2,"380000,",HC 
Bacillus Subtilis Niger_3,"375000,",HC 
Bacterial Capsules (Capsular),"416050,418750,3600,",HC 
Bacterial Capsules,"362400,357600,3600,",HC 
Bacteroides Fragilis,"324300,325000,3600,",HC 
Balantidium Coli Cysts,"458800,462900,3600,",HC 
Besnoitia (Lung Sect.) Protozoan,"352800,361400,3600,",HC 
Beta Streptococcus,"380600,387400,3600,",HC 
Blepharisma,"405650,407450,3600,",HC 
Blue-green Algae,"256000,",HC 
Bordetella Pertussis,"329850,332250,3600,",HC 
Borrelia Burgdorferi Lyme Disease,"378950,382000,3600,",HC 
Bryozoa Cristatalla,"396000,",HC 
Campylobacter Fetus Smear,"365300,370600,3600,",HC 
Campylobacter Pyloridis,"352000,357200,3600,",HC 
Capillaria Hepatica (Liver Sect),"424250,430650,3600,",HC 
Central Spores (Bacillus Smear),"372450,378650,3600,",HC 
Chilomastix Cysts (Rat) 2nd,"425200,427300,3600,",HC 
Chilomastix Cysts (Rat),"388950,390700,3600,",HC 
Chilomonas Whole Mount,"393750,400000,3600,",HC 
Chlamydia Trachomatis,"379700,383950,3600,",HC 
Clonorchis Sinensis,"425700,428750,3600,",HC 
Clostridium Acetobutylicum,"382800,391150,3600,",HC 
Clostridium Botulinum,"361000,364550,3600,",HC 
Clostridium Perringens Spores,"394200,393100,3600,",HC 
Clostridium Septicum,"362050,365600,3600,",HC 
Corynebacterium Diphtheriae,"340000,344000,3600,",HC 
Corynebacterium Xerosis,"315650,316800,3600,",HC 
Coxsackie B1,"360500,366100,3600,",HC 
Coxsackie B4,"361450,363700,3600,",HC 
Cryptocotyle Lingua (Adult),"409950,416000,3600,",HC 
Cytochalasin B_1,"77000,",HC 
Cytochalasin B_2,"91000,",HC 
Cytomegalovirus (CMV) Antigen,"403350,410750,3600,",HC 
